LocalTimeStamp,PupilLeft,PupilRight,EEG.Cz,EEG.Fz,EEG.Pz
09:44:33.419,2.76,2.9,-1.520023,-1.367164,2.326353
09:44:33.444,2.78,2.93,-6.663661,-1.876913,1.800411
09:44:33.469,2.7,2.92,-2.565226,2.223923,1.279375
09:44:33.494,2.75,2.88,3.056832,2.729565,-0.777279
09:44:33.519,2.77,2.94,5.095873,1.696256,5.888126
09:44:33.544,2.65,2.86,10.22213,-2.400114,10.480224
09:44:33.569,2.76,2.87,-4.129545,-1.369843,-5.419915
09:44:33.594,2.79,2.86,9.718759,-1.878729,-0.789546
09:44:33.619,2.77,2.87,-8.742686,-4.944383,-20.263592
09:44:33.644,2.72,2.84,-2.054943,-4.929564,-12.518245
09:44:33.669,2.74,2.87,-6.051673,-19.416231,6.018359
09:44:33.769,2.76,2.84,-2.427639,-7.543447,2.355272
09:44:33.844,2.68,2.84,-0.373929,-8.048724,0.814456
09:44:33.919,2.75,2.83,1.677727,-7.527855,1.839282
09:44:34.119,2.73,2.89,2.186545,-8.01709,5.92967
09:44:34.144,2.64,2.84,1.672676,-7.473786,4.880857
09:44:34.169,2.58,2.81,-3.447726,-7.451387,1.800583
09:44:34.194,2.52,2.86,0.662608,-7.429055,4.871597
09:44:34.219,2.57,2.84,1.165755,-7.919611,5.367255
09:44:34.244,2.61,2.85,-2.420439,-8.913622,-8.97831
09:44:34.269,2.68,2.85,0.649899,3.920787,-2.286274
09:44:34.294,2.69,2.86,1.158721,1.865956,2.84827
09:44:34.319,2.67,2.82,-3.972443,1.343956,5.392048
09:44:34.344,2.58,2.84,-1.908232,-0.707766,5.887683
09:44:34.369,2.64,2.91,1.687593,-0.704939,2.787243
09:44:34.394,2.6,2.87,1.683559,-0.702827,-2.340088
09:44:34.419,2.68,2.88,6.812356,-0.70072,-4.385895
09:44:34.444,2.74,2.87,5.254505,-0.69862,4.336481
09:44:34.469,2.66,2.93,-2.4429,-0.69583,-3.872651
09:44:34.494,2.71,2.89,-2.435066,-0.693744,2.285623
09:44:34.519,2.68,2.9,-2.42828,-0.691665,-1.823278
09:44:34.544,2.78,2.92,-6.00972,-0.689592,-4.886536
09:44:34.569,2.78,2.93,-2.40571,-0.686838,-0.764457
09:44:34.594,2.73,2.88,-2.399525,-0.68478,-9.468836
09:44:34.619,2.79,2.89,-2.392334,-0.682727,-8.415841
09:44:34.644,2.68,2.89,-2.384652,-0.680681,-4.807027
09:44:34.669,2.68,2.89,-10.099208,2.770087,0.818275
09:44:35.119,2.74,2.87,-2.394061,9.849529,9.514132
09:44:35.144,2.67,2.87,-2.386886,9.82001,9.486643
09:44:35.169,2.48,2.84,0.177193,13.891092,8.945392
09:44:35.194,2.56,2.89,-0.857182,13.850486,0.711916
09:44:35.219,2.57,2.9,6.323844,13.296668,-3.895352
09:44:35.244,2.66,2.86,-5.963513,9.150219,-10.007512
09:44:35.269,2.64,2.88,-0.824615,6.052024,-6.389826
09:44:35.294,2.7,2.85,-1.838046,6.033886,-5.34811
09:44:35.319,2.63,2.87,-1.830487,6.015803,-5.331569
09:44:35.344,2.69,2.87,7.920413,5.991776,6.994339
09:44:35.369,2.69,2.87,0.214623,6.486126,9.531841
09:44:35.394,2.76,2.91,-3.893195,6.979507,9.503275
09:44:35.419,2.72,2.91,-6.448704,-1.234235,1.276331
09:44:35.444,2.69,2.9,-4.391423,-8.913103,1.784301
09:44:35.469,2.68,2.89,2.275865,-1.190323,5.877687
09:44:35.494,2.74,2.88,1.758273,-0.674447,7.912378
09:44:35.519,2.76,2.93,1.754029,-1.184734,9.423538
09:44:35.544,2.8,2.91,-2.348665,-1.181183,5.298371
09:44:35.569,2.75,2.91,-1.822876,-1.176978,-1.884344
09:44:35.594,2.79,2.87,-5.914338,-4.24986,-8.545362
09:44:35.619,2.7,2.93,-1.794048,-4.748919,-8.514115
09:44:35.644,2.79,2.91,1.280563,-0.638274,-4.898856
09:44:35.669,2.7,2.93,-2.314043,-0.635849,-4.883661
09:44:35.694,2.76,2.89,-8.975054,-1.144593,-4.857498
09:44:35.719,2.76,2.9,-5.876359,-1.141162,-4.842427
09:44:35.744,2.81,2.9,-5.345928,-1.137742,-6.365351
09:44:35.769,2.78,2.92,-5.841702,1.429257,-4.801148
09:44:35.794,2.73,2.95,-5.81837,-1.657984,6.468315
09:44:35.819,2.8,2.87,-5.800932,-4.723788,-5.340814
09:44:35.844,2.77,2.9,-5.783546,-4.70963,-5.324808
09:44:35.869,2.75,2.93,-5.253393,-0.597566,-5.308338
09:44:35.894,2.79,2.91,-4.205745,-0.595179,-5.287136
09:44:36.119,2.77,2.89,-0.499588,-1.071011,-1.569442
09:44:36.144,2.78,2.86,-3.045791,-1.067801,-1.564739
09:44:36.169,2.73,2.9,-2.521278,-1.064601,7.148159
09:44:36.194,2.77,2.89,-5.590643,-1.062947,7.128274
09:44:36.219,2.73,2.88,-11.221576,-9.778222,-17.497192
09:44:36.244,2.85,2.92,-9.641886,-12.287393,-20.495525
09:44:36.269,2.81,2.9,-5.005806,-7.636721,-8.132048
09:44:36.294,2.78,2.93,-5.503112,-3.509219,-12.199987
09:44:36.319,2.82,2.89,-5.487133,6.224384,-20.360348
09:44:36.344,2.8,2.91,0.164529,6.710295,-19.256973
09:44:36.369,2.65,2.89,2.737875,7.203005,-12.023362
09:44:36.394,2.66,2.91,-10.579569,-4.090892,-11.475533
09:44:36.419,2.71,2.9,-7.987346,-12.277095,-7.857548
09:44:36.444,2.76,2.89,-0.794912,-11.716776,-7.312832
09:44:36.469,2.67,2.86,-12.0633,-15.780636,-18.558611
09:44:36.494,2.75,2.87,-0.770214,-11.635904,-4.166059
09:44:36.519,2.75,2.91,-5.381753,-11.601031,-3.126395
09:44:36.544,2.81,2.94,0.78794,2.79146,9.704034
09:44:36.569,2.75,2.88,0.787115,1.242583,3.533408
09:44:36.594,2.78,2.87,-0.744479,-3.365762,5.062818
09:44:36.619,2.78,2.8,4.389032,4.850476,2.485594
09:44:36.644,2.8,2.85,-4.845659,-7.452784,1.963786
09:44:36.669,2.81,2.83,-6.872958,-7.939931,-8.786643
09:44:36.694,2.77,2.82,-14.034405,-8.429468,-11.336714
09:44:36.719,2.77,2.86,-9.388748,-3.793435,-6.686843
09:44:36.744,2.73,2.81,-5.265736,-4.294374,-7.688344
09:44:37.118,2.83,2.82,-8.055478,3.479007,-3.821994
09:44:37.144,2.79,2.81,-8.023304,-3.19899,-7.908268
09:44:37.168,2.83,2.8,-7.999259,-4.21812,-7.884567
09:44:37.193,2.75,2.78,-8.487593,3.477601,0.338038
09:44:37.219,2.88,2.87,-9.477282,-0.635776,-8.866408
09:44:37.244,2.77,2.8,-4.843745,-0.633871,-14.999319
09:44:37.268,2.78,2.82,-6.369228,-0.11915,-15.466674
09:44:37.293,2.82,2.83,-10.450654,-0.11828,-13.881858
09:44:37.318,2.75,2.76,-2.732668,-4.217927,0.496164
09:44:37.343,2.76,2.79,2.428328,-1.128363,0.495702
09:44:37.368,2.78,2.83,0.911424,1.950505,-0.52116
09:44:37.394,2.75,2.79,-4.723618,2.967738,-0.52011
09:44:37.418,2.74,2.88,-4.709973,2.958332,-0.519064
09:44:37.443,2.75,2.82,-4.695857,2.949466,-0.517508
09:44:37.468,2.76,2.8,-4.676589,2.937685,0.5102
09:44:37.493,2.78,2.78,-2.61898,2.928881,0.50252
09:44:37.518,2.77,2.73,0.959644,3.432924,-0.522064
09:44:37.543,2.74,2.78,7.624967,7.526737,2.557448
09:44:37.568,2.7,2.81,6.584227,10.564378,13.823645
09:44:37.593,2.8,2.81,2.983975,10.020409,12.241703
09:44:37.618,2.79,2.78,0.420156,9.990377,-4.679615
09:44:37.643,2.78,2.79,-4.184695,9.960436,-4.670202
09:44:37.668,2.68,2.74,-8.28804,9.417252,1.49559
09:44:37.693,2.74,2.82,-2.626707,7.334,-4.637063
09:44:37.719,2.73,2.77,-2.126002,0.634079,6.11736
09:44:37.744,2.8,2.82,-5.199628,-0.903208,3.539536
09:44:38.118,2.61,2.89,-6.009868,-3.930723,-10.584181
09:44:38.144,2.62,2.92,11.439935,2.23439,-0.299128
09:44:38.168,2.77,2.88,-1.896924,-12.627695,-7.476179
09:44:38.194,2.68,2.89,-10.610208,-11.566258,-4.896847
09:44:38.218,2.65,2.86,-11.621475,-7.436207,-1.304219
